,N_index,ASC,AVH,AZUL,BSTI,BCO,BRS,CNI,CP,CGI,CEA,ZNH,VLRS,CPA,CMRE,DAC,DAL,DHT,DSX,LPG,ERA,EURN,FDX,GNK,GNRT,GWR,GSL,GOL,PAC,ASR,GSH,KSU,KNX,LTM,NNA,NM,NMM,NAO,NSC,RRTS,SB,SNDR,SALT,STNG,CKH,SMHI,SSW,SFL,LUV,TK,TNP,UNP,UAL,UPS,USDP,ZTO
20-Oct-17,0.0,5552.0,7.5,27.38,11.2,87.0,8.7,81.58,177.61,1271.7,25.48,34.92,10.42,125.89,6.16,1.45,474.0,4.06,4.07,7.73,9.53,8.45,225.07,543.0,4.94,72.84,1.58,23.78,255.0,179.96,9.5,105.19,40.28,13.81,1.27,1.77,2.1,1.33,132.75,9.2,3.29,25.72,8.2,3.7,44.63,13.5,7.35,14.85,59.37,8.73,4.79,112.99,59.9,119.76,11.1,15.6
19-Oct-17,1.0,5502.0,7.74,26.75,11.43,85.35,9.06,82.21,177.0,1271.7,24.91,34.67,10.6,126.24,6.24,1.45,474.0,4.16,3.98,7.72,9.33,8.52,223.97,538.0,4.9,71.7,1.55,23.46,253.0,182.84,9.5,103.78,39.35,13.57,1.27,1.73,2.07,1.37,130.24,8.89,3.24,24.87,7.75,3.56,44.44,12.93,7.47,14.8,58.63,8.74,4.83,112.01,59.78,119.42,10.95,15.33
18-Oct-17,2.0,5490.0,7.65,27.16,11.78,85.3,9.14,81.09,177.1,1271.7,25.18,34.93,10.78,127.44,6.21,1.5,475.25,4.15,4.04,7.8,9.87,8.45,222.3,544.5,5.06,71.08,1.53,23.67,253.5,180.67,9.5,102.81,39.27,13.54,1.25,1.77,2.08,1.39,130.52,8.63,3.12,24.69,7.8,3.59,44.61,13.38,7.55,14.9,58.83,8.82,4.81,110.38,67.99,118.15,11.0,15.41
17-Oct-17,3.0,5750.0,7.34,27.0,11.75,86.0,9.31,80.08,167.16,1271.7,24.93,35.01,10.88,126.6,6.24,1.5,475.25,4.08,4.0,7.78,10.01,8.5,220.1,537.5,5.09,71.0,1.49,22.59,255.5,187.57,9.5,101.47,38.46,13.62,1.25,1.79,2.1,1.39,129.48,8.49,3.13,24.53,7.5,3.69,44.28,13.36,7.5,14.95,58.73,8.9,4.81,110.57,67.51,117.68,11.05,14.96
16-Oct-17,4.0,5700.0,7.39,27.06,11.78,84.65,9.58,80.23,168.46,1271.7,25.46,35.91,11.07,129.3,6.14,1.45,475.25,4.08,4.03,7.93,10.42,8.6,221.35,534.0,4.95,71.39,1.4,22.84,255.5,179.96,9.5,101.9,38.84,13.88,1.27,1.9,2.12,1.41,129.8,9.08,3.24,23.77,7.7,3.64,45.12,13.46,7.6,14.95,58.88,8.82,4.65,112.09,66.95,118.34,11.4,15.29
13-Oct-17,5.0,5852.0,7.54,27.72,11.4,86.35,9.51,80.79,168.55,1271.7,25.4,35.89,11.33,129.53,6.08,1.5,480.0,4.05,4.0,7.72,10.55,8.25,222.22,531.0,4.84,71.87,1.39,24.0,255.0,182.85,9.5,104.17,39.41,13.86,1.25,1.78,2.12,1.44,131.65,9.12,3.15,24.3,7.25,3.61,45.15,14.0,7.22,14.75,59.12,8.98,4.55,112.28,67.57,118.36,11.4,15.63
12-Oct-17,6.0,5914.0,7.62,27.92,11.08,86.4,9.4,80.88,168.95,1271.7,24.96,34.95,11.46,128.82,6.28,1.4,491.5,4.02,4.0,7.74,10.71,8.15,225.06,530.0,4.68,72.63,1.36,24.39,257.0,181.83,9.5,105.46,40.65,13.79,1.25,1.72,2.06,1.44,133.69,9.17,3.0,24.82,6.95,3.57,45.08,13.67,7.3,14.6,58.81,8.92,4.45,113.69,66.64,119.57,11.05,15.56
11-Oct-17,7.0,5878.0,7.68,28.65,11.0,84.74,9.34,80.84,165.55,1271.7,25.2,35.23,11.57,130.44,6.16,1.45,491.5,4.01,4.03,7.37,11.22,8.15,222.4,537.0,4.69,72.11,1.32,24.55,255.0,177.73,9.5,104.52,39.81,14.0,1.26,1.7,2.05,1.48,130.1,9.18,3.0,24.46,6.98,3.58,46.03,14.22,7.29,14.48,58.53,8.87,4.43,112.75,68.12,118.24,10.75,14.84
10-Oct-17,8.0,5882.0,7.68,28.49,11.0,84.05,9.5,80.75,165.02,1271.7,25.06,34.9,11.48,130.19,6.16,1.45,491.5,4.03,4.0,7.33,11.18,8.05,220.78,540.0,4.69,71.98,1.31,24.36,252.75,175.72,9.5,104.79,39.83,14.03,1.25,1.7,2.06,1.45,130.0,9.15,2.97,24.4,6.9,3.58,46.12,14.17,7.23,14.45,58.01,8.86,4.43,112.63,67.72,118.12,10.8,14.34
9-Oct-17,9.0,5924.0,7.67,28.14,10.74,83.95,9.54,80.46,165.28,1271.7,24.84,35.24,11.43,126.08,6.1,1.5,480.0,3.99,4.07,7.15,11.32,8.0,220.64,520.0,4.56,72.3,1.51,24.0,252.5,181.6,9.5,104.16,39.68,13.72,1.24,1.68,2.05,1.43,130.79,9.19,2.88,24.49,7.0,3.54,46.66,14.18,7.02,14.75,57.66,8.7,4.47,113.88,64.7,117.15,10.65,13.58
